filename,width,height,class,xmin,ymin,xmax,ymax
101_1184_jpg.rf.00e8e1e62cfb23e3135c9acccc40c10c.jpg,640,640,truck,40,174,597,522
maxresdefault-33_jpg.rf.00aa7bc19aa8b694cabc79050f1b7055.jpg,640,640,truck,235,239,435,509
018_jpg.rf.00639a2bfa0c21bc1cbab16583c3270b.jpg,640,640,truck,57,140,585,499
xe-tai-mitsubishi-fuso-canter-12-8-4_jpg.rf.007bb59de72c5e2338d6ca6c5fcd5683.jpg,640,640,truck,24,15,559,615
Image_013446_jpg.rf.013d987965e6ea9b6ed573c73c20601f.jpg,640,640,truck,188,13,592,636
2234_jpg.rf.018bb0867d41c21f8431e6b46d195e48.jpg,640,640,truck,125,127,633,527
IMG_20150904_105431_jpg.rf.011f58b8d05a9f9d26f2c02b802e4a3b.jpg,640,640,truck,61,101,538,459
hqdefault-3_jpg.rf.011e7fbea890151ccd40dd4f5b5d593a.jpg,640,640,truck,173,167,495,576
img_5466_jpg.rf.018c508565e093afc7c2eb3b28cb0139.jpg,640,640,truck,13,66,635,557
2005-mitsubishi-fuso-fm260-18ft-dies-2_jpg.rf.03ed3987e4b6e87c6038365ef41896d5.jpg,640,640,truck,31,24,625,625
MITSUBISHI-FUSO-SUPER-GREAT-V-BETA-V_jpg.rf.0291ad565764cb84b191bcd291222e07.jpg,640,640,truck,52,20,431,599
MITSUBISHI_FUSO_CANTER_TRUCK-06_jpg.rf.02d6bc41453799523a2759ab2076d80b.jpg,640,640,truck,138,165,584,464
Image_013396_jpg.rf.0296e3e7f6c120e0ab808b0411bf5a30.jpg,640,640,truck,0,0,636,572
Image_013584_jpg.rf.00bdac38ed2e8388e1bf5e5985e59461.jpg,640,640,truck,59,99,636,640
Image_013501_jpg.rf.0215d9c0a73ae2ec391d632522ea1a65.jpg,640,640,truck,7,59,625,634
Image_013303_jpg.rf.01e0854880965c1f9e27d4abcb9a3596.jpg,640,640,truck,34,56,624,634
Image_013225_jpg.rf.01bf5480c6e47115506320d2c6c36ce8.jpg,640,640,truck,41,0,602,547
image6_jpg.rf.03ae427a86c0014394f055e3290b7067.jpg,640,640,truck,249,67,598,302
Image_013470_jpg.rf.049d0ba6981d4e4dd9a7d699afe58a12.jpg,640,640,truck,113,158,590,640
Mitsubishi-Self-Loader-Truck-CN-FV4-3_jpg.rf.03e193cacc4a64da97fef0877355c6b3.jpg,640,640,truck,83,160,541,540
Cutting-Sticker-Truk-Canter-Kuning-K_jpg.rf.02ae6c2d1b02ccf50fec907d65823b41.jpg,640,640,truck,0,38,621,598
Cutting-Sticker-Truk-Canter-Kuning-K_jpg.rf.027ec89177fc17ab17b35c69b1e204ef.jpg,640,640,truck,0,42,621,602
Image_013365_jpg.rf.03839a2c54a4783e008a4b5e944b6207.jpg,640,640,truck,115,148,547,599
Image_013220_jpg.rf.0435a7b1f6d1d6478dffd13dcbfe8f1f.jpg,640,640,truck,79,74,552,522
2788_1807600_1_jpg.rf.03035f27e1ba42bf7e4bee941a43697a.jpg,640,640,truck,80,86,608,590
pl20751532-sinotruk_homan_4x2_10_ton_jpg.rf.052d1ddc3da1e505882d3432cdd744d9.jpg,640,640,truck,96,185,526,446
Image_013524_jpg.rf.02ce8cef5cb354361c403a34ad5fdb2c.jpg,640,640,truck,88,0,640,571
Image_013453_jpg.rf.0502cc431e96849f9cdba48566329add.jpg,640,640,truck,17,40,640,632
